red,gray,hue,saturation,homogeneity_135,contrast_90,ASM_135,energy_0,energy_90,energy_135,label
25.96212313,10.74070887,170.9628264,152.1214234,0.136880449,462.6918104,0.000493523,0.023687041,0.024045524,0.022215376,0
25.62362279,10.45357293,171.8744458,154.5159424,0.141004955,394.6266854,0.000595036,0.024843945,0.026474409,0.024393365,0
25.50054897,12.26324131,169.2710619,138.550883,0.159600914,437.2239432,0.000623412,0.026323704,0.026968437,0.024968223,0
26.16307899,10.39230215,3.569233053,167.4338914,0.149984592,408.6109109,0.000566742,0.024789623,0.025548122,0.023806348,0
26.93694597,10.77102521,3.371684683,165.5300162,0.158715417,440.3328785,0.000590094,0.024952664,0.025859508,0.024291842,0
29.66007286,11.69801812,3.885201308,168.1656702,0.147904686,392.6118212,0.000543083,0.02434204,0.025186573,0.023304137,0
26.23031312,10.81557295,3.622176003,163.7602802,0.151668773,403.227349,0.000702367,0.027664317,0.028411224,0.026502199,0
26.54938928,10.86614335,3.474537103,165.8243672,0.154829338,364.100714,0.000557744,0.024389111,0.02549418,0.023616597,0
26.07485621,10.82579953,3.657308981,159.8555203,0.153801215,365.4816103,0.000684796,0.026793252,0.028577068,0.026168613,0
28.04972984,11.38884176,4.010111138,166.04668,0.143179394,438.6506723,0.000577856,0.025005218,0.025820777,0.024038642,0
26.52905373,10.29805014,3.67690642,168.3403015,0.151411976,372.356557,0.000576905,0.024853322,0.025111427,0.024018855,0
27.82645978,10.96425173,3.940114262,169.6958488,0.142273002,415.7237258,0.000564307,0.025018485,0.026315917,0.023755139,0
25.7068909,10.16868322,3.588571317,167.4786837,0.162209992,432.0284259,0.000698677,0.027359756,0.02838484,0.026432493,0
24.57265333,11.28338484,168.848194,142.3184473,0.140591176,482.8400832,0.000614445,0.026310381,0.026884118,0.024787999,0
26.47366483,10.5586927,3.843064608,169.2732104,0.159057062,359.4362141,0.000640598,0.026605974,0.027284853,0.025310035,0
25.8601496,10.66429173,4.127514892,163.8698752,0.155683024,413.2828177,0.00066665,0.026957699,0.028344776,0.025819576,0
25.91063876,9.731951039,3.912993333,176.7350696,0.152308276,408.9875405,0.000799053,0.029632863,0.030911673,0.028267529,0
26.97394888,11.05005424,3.60894224,163.781848,0.152430756,441.7842508,0.000641398,0.027114292,0.026510775,0.025325844,0
33.1544703,16.09838298,3.545290235,169.0325597,0.152302107,402.8850434,0.000535364,0.024284587,0.024568904,0.023137926,0
23.14710419,8.418126614,3.647484861,175.9867362,0.183383565,398.9291092,0.001024441,0.032322673,0.033285241,0.032006885,0
